CrashReportId,ReportNumber,CrashDate,CrashTime,Collision Type,CountPedestrian,CountBicycle,Scooter,Wheel Chair,NumberofVehicles,StreetOrHighway,NearestIntersection,Officer,Badge,ReportDate,TypeOfRoadway,RoadSurfaceCondition,LightCondition,WeatherCondition,MannerofImpact,HitAndRun,TrafficControl,PersonCount,InjuryCount,MostSeriousInjury,NumberOfLanes,Latitude,Longitude
907406,2024-00000392,2024-01-02,15:14,Pedestrian,1,,,,1,95 Manton Ave,CHAFFEE ST,Brandon Macedo,177,2024-01-02,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,2,1,Complains Of Pain,,41.81867,-71.44558
907410,2024-00000406,2024-01-02,16:02,Bicycle,,1,X,,1,BROAD ST,BROAD ST,Raymond Criner,340,2024-01-02,"Two-Way , Not Divided",Dry,Dusk,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,Pavement Markings,3,1,Complains Of Pain,,41.80153,-71.41838
907421,2024-00000606,2024-01-03,10:57,Bicycle,,,,,2,DOUGLAS AVE,CRIMEA ST,Ptlm. Castagliuolo,351,2024-01-03,"Two-Way , Not Divided",Dry,Daylight,Clear,"Sideswipe, Same Direction",No,Stop Signs,3,0,No Injury,,41.83698,-71.42186
907478,2024-00001158,2024-01-05,10:00,Pedestrian,1,,,,1,DOYLE AVE,HOPE ST,Thiago Gomes,532,2024-01-05,"Two-Way , Not Divided",Dry,Daylight,Clear,Angle (Front - to - Side) Opposite Direction,"Yes, M/V and Driver Left Scene",Traffic Control Signal,1,1,Non-Incapacitating,2,41.83877,-71.40017
907489,2024-00001254,2024-01-05,18:31,Pedestrian,1,,X,,1,CHALKSTONE AVE.,ACADEMY AVE,Jenna Heeder,557,2024-01-05,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Angle (Front - to - Side) Right Angle (Includes Broadside),No,No Controls,4,1,Complains Of Pain,,41.83245,-71.44454
907527,2024-00001692,2024-01-07,14:09,Pedestrian,1,,,,1,PORTLAND ST,BROAD ST,Joshua Cascione,225,2024-01-07,"Two-Way , Not Divided",Snow,Daylight,Snow,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",No Controls,2,1,Complains Of Pain,,41.81407,-71.42115
907648,2024-00002186,2024-01-09,16:30,Pedestrian,1,,,,1,BROAD ST,BROAD ST,Raymond Criner,340,2024-01-09,"Two-Way , Not Divided",Wet,Dark - Lighted,Rain,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,3,1,Complains Of Pain,,41.81459,-71.42105
907676,2024-00002502,2024-01-10,18:03,Pedestrian,1,,X,,1,WATERMAN ST,HOPE ST,Ptlm. Castagliuolo,351,2024-01-10,One-Way Trafficway,Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,Traffic Control Signal,4,1,Complains Of Pain,,41.82758,-71.39723
907707,2024-00002772,2024-01-11,20:19,Pedestrian,1,,,,1,CARTER ST,ELMWOOD AVE,Ralph Abenante,511,2024-01-11,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,4,1,Non-Incapacitating,,41.8002,-71.42657
907735,2024-00003001,2024-01-12,17:35,Bicycle,,1,X,,1,BROAD ST,VERNDALE AVE,Raymond Criner,340,2024-01-12,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,Pavement Markings,4,1,Complains Of Pain,,41.79178,-71.4067
