CrashReportId,ReportNumber,CrashDate,CrashTime,Collision Type,CountPedestrian,CountBicycle,Scooter,Wheel Chair,NumberofVehicles,StreetOrHighway,NearestIntersection,Officer,Badge,ReportDate,TypeOfRoadway,RoadSurfaceCondition,LightCondition,WeatherCondition,MannerofImpact,HitAndRun,TrafficControl,PersonCount,InjuryCount,MostSeriousInjury,NumberOfLanes,Latitude,Longitude
23573,2010-00003775,2010-01-12,5:35:00 PM,Pedestrian,1,,,,1,850 manton ave,CHALKSTONE AVE ,William Brown,513,12-Jan-10,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Angle - Direction Not Specified,No,No Controls,3,1,Incapacitating,,41.83392,-71.4671
23675,2010-00004235,2010-01-14,7:51:00 AM,Pedestrian,1,,,,1,BROAD ST,ATLANTIC AVE ,Christopher Lourenco,551,14-Jan-10,"Two-Way , Not Divided",Dry,Daylight,Clear,Head-On (Front - to - Front),No,No Controls,2,1,Complains Of Pain,2,41.79951,-71.41629
23859,2010-00005035,2010-01-16,10:25:00 AM,Pedestrian,1,,,,1,BROAD ST,BROAD ST ,John Martin,186,17-Jan-10,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",No Controls,1,1,Complains Of Pain,2,41.81379,-71.42152
23903,2010-00005105,2010-01-16,2:49:00 PM,Pedestrian,1,,,,1,PARK ST,SMITH ST ,Matthew Mulligan,589,18-Jan-10,"Two-Way , Not Divided",Dry,Daylight,Clear,Other,"Yes, M/V and Driver Left Scene",Traffic Control Signal,1,1,Complains Of Pain,,41.83189,-71.41688
23879,2010-00005525,2010-01-17,7:08:00 PM,Pedestrian,1,,,,1,Elmwood Avenue,Roger Williams Avenue,Anthony Doucette,475,17-Jan-10,"Two-Way, Divided, Positive Median Barrier",Wet,Dark - Unknown Lighting,Rain,Unknown,"Yes, M/V and Driver Left Scene",Traffic Control Signal,1,1,Complains Of Pain,,41.78899,-71.42128
23997,2010-00006322,2010-01-20,11:46:00 AM,Pedestrian,1,,,,1,ATWELLS AVE,EXIT ,Stephen Sullivan,387,20-Jan-10,"Two-Way , Not Divided",Dry,Daylight,Cloudy,Not a Collision Between Two Motor Vehicles in Transport,No,Traffic Control Signal,3,1,Complains Of Pain,2,41.82309,-71.4195
24026,2010-00006444,2010-01-20,5:06:00 PM,Pedestrian,1,,,,1,CHESTNUT ST,POINT ST ,David Depina,404,20-Jan-10,"Two-Way , Not Divided",Dry,Dark - Lighted,Cloudy,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,2,1,Complains Of Pain,2,41.81647,-71.40815
24037,2010-00006451,2010-01-20,5:27:00 PM,Bicycle,,1,,,1,MANTON AVE,DELAINE ST ,Jason Andrade,200,20-Jan-10,"Two-Way, Divided, Positive Median Barrier",Dry,Dark - Lighted,Clear,Other,No,Traffic Control Signal,4,1,Complains Of Pain,,41.81795,-71.44465
24395,2010-0004751,2010-01-20,5:06:00 PM,Pedestrian,1,,,,1,CHESTNUT ST,POINT ST ,David Depina,404,20-Jan-10,"Two-Way , Not Divided",Dry,Dark - Lighted,Cloudy,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,2,1,Complains Of Pain,2,41.81647,-71.40815
24167,2010-00006657,2010-01-21,11:52:00 AM,Pedestrian,1,,,,1,PLENTY ST,ELMWOOD AVE ,Eugene Craven,517,22-Jan-10,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,Traffic Control Signal,3,1,Complains Of Pain,,41.80717,-71.42486
24255,2010-00008160,2010-01-25,5:14:00 PM,Pedestrian,1,,,,1,WATERMAN ST,BROOK ST ,James Grennan,332,25-Jan-10,One-Way Trafficway,Wet,Dark - Lighted,Rain,Other,No,Traffic Control Signal,3,1,Complains Of Pain,2,41.8274,-71.39933
24528,2010-00009574,2010-01-29,3:26:00 PM,Pedestrian,1,,,,1,PARK ST,SMITH ST ,MATSUMOTO,348,29-Jan-10,"Two-Way , Not Divided",Dry,Daylight,Clear,Head-On (Front - to - Front),No,Traffic Control Signal,2,1,Complains Of Pain,2,41.83189,-71.41688
24722,2010-000010887,2010-02-02,4:35:00 PM,Bicycle,,1,,,1,DYER ST,FRIENDSHIP ST ,David Depina,404,2-Feb-10,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,Traffic Control Signal,4,0,No Injury,,41.82305,-71.40832
24732,2010-00010982,2010-02-02,8:31:00 PM,Pedestrian,1,,,,1,ATWELLS AVE,DEAN ST ,Nicholas Froncillo,163,2-Feb-10,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Other,No,Person,2,1,Complains Of Pain,,41.82339,-71.4242
24935,2010-00012129,2010-02-06,3:00:00 AM,Pedestrian,1,,,,1,RICHMOND ST,weybosett st, Papa,187,6-Feb-10,One-Way Trafficway,Dry,Dark - Lighted,Clear,Head-On (Front - to - Front),"Yes, M/V and Driver Left Scene",No Controls,1,1,Complains Of Pain,,41.82084,-71.41227
25089,2010-00012987,2010-02-09,7:20:00 AM,Pedestrian,2,,,,1,Douglas Ave,FILLMORE ST ,Raymond King,633,9-Feb-10,"Two-Way , Not Divided",Dry,Daylight,Clear,Head-On (Front - to - Front),No,Person,3,2,Complains Of Pain,2,41.83718,-71.42232
25290,2010-00013875,2010-02-12,1:43:00 AM,Pedestrian,2,,,,1,HOPE ST,THAYER ST ,Ptlm. T. Connetta/ K. Penza,374,12-Feb-10,"Two-Way , Not Divided",Dry,Dark - Lighted,Cloudy,Angle (Front - to - Side) Same Direction,No,No Controls,6,2,Fatal,2,41.83372,-71.40133
25320,2010-00014087,2010-02-12,5:56:00 PM,Pedestrian,1,,,,1,PLAINFIELD ST,DIKE ST ,Daniel Fascitelli,259,12-Feb-10,"Two-Way , Not Divided",Dry,Dusk,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,Traffic Control Signal,3,1,Complains Of Pain,,41.81621,-71.44467
